d_sense_max,epsilon,t_react,v_ship,v_obj,d_init,N_samples,bias_angle,time_interval,ship_types,ship_counts,collision_probability
1099.230334765632,73.93337491606589,17.754303931327193,12.824953506872287,4.197864193142547,2796.64725693721,1277,83.60760430029585,7.824620475092181,"[100, 200]","[2, 3]",0.0
656.9577273444398,46.994784996908635,14.78783172749079,11.751986122629225,6.157759651176721,1904.5894787201637,1948,55.96899991999082,3.6522225305785208,"[100, 200]","[1, 1]",0.0
990.6667059428869,37.644173913303376,7.584287753614981,16.385876250426037,5.471505824994438,1846.2752548980268,728,33.69519799595848,3.4173395457574918,"[100, 200]","[2, 3]",0.0
663.4209013885335,70.18435182910656,9.751926726020045,17.923790555840693,2.984963493467146,1134.4915788932512,1167,25.897111762563966,1.5441949277865608,"[100, 200]","[2, 1]",0.0
687.1713036869121,69.12620057685623,5.582554133370677,8.644429185944613,3.5860044261540054,1841.068324958028,1106,82.94553537962655,3.368538839074082,"[100, 200]","[1, 3]",0.0
530.9593954260312,61.28716136000891,15.365255594267907,13.438600059376352,3.1963801089924226,2055.535926564692,1671,46.58622486681002,6.5461876456312575,"[100, 200]","[4, 3]",0.0
1155.8152629459285,22.0324902223311,12.34598271838265,8.267763334536177,2.702564324908292,2911.3425837862533,1102,45.73300454514392,1.1685491399021701,"[100, 200]","[4, 1]",0.0
1285.2964504582192,27.446853863954512,8.338757088221845,13.085088563992075,3.4047833023061687,2521.0194583178727,1283,36.924080158027124,6.866524356235385,"[100, 200]","[2, 1]",0.0
1146.6731911080274,80.41766762934287,15.76785408112904,8.412644110869008,2.424797342490475,1624.8804305809108,1943,61.47462150679239,4.664834852133902,"[100, 200]","[1, 3]",0.0
1012.2820578135631,80.14188850229144,11.350220204254017,7.655586546719107,6.514427993285599,1267.2435341035916,1884,15.987270344925443,6.897958331102316,"[100, 200]","[1, 3]",0.030558981314510077
536.0995021713,65.49053295966377,16.669022981035663,12.237184824602977,5.287498399487073,2360.25247104321,1075,75.23133014329866,3.4199014644527432,"[100, 200]","[2, 2]",0.0
561.7734998931445,49.67995214913077,19.652089947251113,18.569468654556957,7.12936691622881,1725.66098947078,1734,52.863149091916604,3.963900387904287,"[100, 200]","[3, 2]",0.0
551.9191141196866,30.159664633835153,18.53075496495162,16.301526834769028,4.700596870699596,1797.6609620263175,1057,12.91721000707297,8.843691488964655,"[100, 200]","[4, 1]",0.0761817278566356
615.7256888113287,48.424742984465,14.257551188481782,13.080769763818896,3.330214081177071,1475.0781263355536,1266,1.6499600877586762,3.3234308546996925,"[100, 200]","[3, 1]",0.41875207001872383
744.3532209866041,71.86742046488084,5.961876893400934,16.32664002663443,3.4404365608840974,2493.5475730373014,1994,72.42772391912204,5.74804424422919,"[100, 200]","[4, 4]",0.0
